TE,Season,Date,AMF,BUT,BMP,SMP,WMP
24,2010,1/06/2010,5323.511722,n.a.,n.a.,3461.530303,3789.582014
25,2010,6/07/2010,4620.194349,n.a.,n.a.,3066.673918,3223.62615
26,2010,3/08/2010,4302.288262,n.a.,2905.070423,2769.630381,2974.215226
27,2010,1/09/2010,4681.42623,n.a.,3198.5,3197.387402,3522.458278
28,2010,15/09/2010,5188.842438,n.a.,2991.5,3228.519716,3601.604737
29,2010,5/10/2010,5256.038613,n.a.,3071.971904,3220.795714,3521.102525
30,2010,19/10/2010,5196.463858,n.a.,3033.376963,3071.752941,3483.990475
31,2010,2/11/2010,5393.887755,n.a.,3011.428571,3020.916958,3495.267001
32,2010,16/11/2010,5341.24439,n.a.,3112.857143,3096.052411,3447.495041
33,2010,1/12/2010,5333.498654,n.a.,3033.571429,3059.950015,3556.115556
34,2010,15/12/2010,5380.453846,n.a.,3020,3127.921141,3619.730636
35,2010,4/01/2011,5984.401211,n.a.,3390,3491.545122,3750.238158
36,2010,18/01/2011,5946.129653,n.a.,3880,3579.243902,3779.982353
37,2010,1/02/2011,6486.051502,n.a.,n.a.,3913.269231,3994.726129
38,2010,15/02/2011,6323.581818,n.a.,n.a.,3898.441525,4319.932727
39,2010,1/03/2011,6424.306705,n.a.,n.a.,3976.717651,4618.957143
40,2010,15/03/2011,6111.05464,n.a.,n.a.,3816.263158,4104.985714
41,2010,5/04/2011,5985.309091,n.a.,n.a.,3763.360445,3877.996667
42,2010,19/04/2011,5950.814433,n.a.,n.a.,3770.511968,3911.910678
43,2010,3/05/2011,5669.993103,n.a.,n.a.,3908.931992,3859.377694
44,2010,17/05/2011,5339.759978,n.a.,n.a.,3824.385422,3862.894737
45,2011,1/06/2011,5669.143612,n.a.,n.a.,4372.170543,3780.326
46,2011,15/06/2011,5345.511755,n.a.,n.a.,3993.824228,3887.633254
47,2011,5/07/2011,5277.672727,n.a.,3335,3704.147113,3637.916901
48,2011,19/07/2011,4613.760417,n.a.,3345,3487.58517,3475.254688
49,2011,2/08/2011,4297.317362,n.a.,3318.604651,3478.606348,3474.476757
50,2011,16/08/2011,4273.211866,n.a.,3419.850993,3437.956543,3385.294318
51,2011,6/09/2011,4352.876298,n.a.,2987.898853,3443.601541,3313.541346
52,2011,20/09/2011,3845.759837,n.a.,2984.723757,3229.683872,3345.089269
53,2011,4/10/2011,3702.536194,n.a.,3075.484048,3193.376363,3308.534405
54,2011,18/10/2011,3644.529734,n.a.,3018.684211,3291.8621,3502.756516
55,2011,1/11/2011,3308.969918,n.a.,2934.354839,3292.341674,3487.128125
56,2011,15/11/2011,3571.328671,n.a.,3039.338521,3354.339564,3574.395216
57,2011,6/12/2011,4012.608537,n.a.,3410,3423.580456,3637.230682
58,2011,20/12/2011,4182.696266,n.a.,3280,3312.425543,3589.128884
59,2011,3/01/2012,3982.286064,n.a.,3585,3268.996992,3554.059093
60,2011,17/01/2012,4083.658124,n.a.,3430,3351.173389,3562.092593
61,2011,1/02/2012,3942.284768,n.a.,n.a.,3296.360483,3533.101429
62,2011,15/02/2012,3546.38834,n.a.,n.a.,3259.433962,3420.906811
63,2011,6/03/2012,3631.25,n.a.,n.a.,3194.354287,3408.723022
64,2011,20/03/2012,3284.153963,n.a.,n.a.,3125.303823,3315.866395
65,2011,3/04/2012,3583.383769,n.a.,n.a.,3077.940101,3227.413115
66,2011,17/04/2012,3303.593216,n.a.,n.a.,2871.076755,2847.391533
67,2011,1/05/2012,2851.710617,n.a.,n.a.,2729.595985,2776.357563
68,2011,15/05/2012,2498.72093,n.a.,n.a.,2573.48013,2546.4912
69,2012,5/06/2012,3095.544854,n.a.,2456.154562,3011.174028,2762.990004
70,2012,19/06/2012,3091.539897,n.a.,2509.473684,2833.892411,2886.026578
71,2012,3/07/2012,2744.697949,n.a.,2482.844037,2598.862952,2759.743461
72,2012,17/07/2012,2845.071241,n.a.,2662.440147,2727.063318,2584.054318
73,2012,1/08/2012,2803.822562,n.a.,2415.695313,2805.29006,2675.125496
74,2012,15/08/2012,3172.586334,n.a.,2667.54372,3023.067149,2869.585334
75,2012,4/09/2012,3529.590226,n.a.,3090.559105,3210.780174,2977.903592
76,2012,18/09/2012,3198.921552,n.a.,3028.846154,3339.412992,3035.778307
77,2012,2/10/2012,2982.460905,n.a.,3143.797909,3308.697248,3166.875372
78,2012,16/10/2012,2879.147423,n.a.,3288.75,3325.222587,3421.155615
79,2012,6/11/2012,3025.682676,n.a.,3510,3449.331886,3351.582394
80,2012,20/11/2012,3065.904092,n.a.,3615,3402.425458,3275.93227
